code,page Url,audio Url
LS,https://macaulaylibrary.org/asset/440970271,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/440970271/audio
LS,https://macaulaylibrary.org/asset/440339491,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/440339491/audio
LS,https://macaulaylibrary.org/asset/399318591,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/399318591/audio
LS,https://macaulaylibrary.org/asset/399317631,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/399317631/audio
LS,https://macaulaylibrary.org/asset/371507211,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/371507211/audio
LS,https://macaulaylibrary.org/asset/338877191,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/338877191/audio
LS,https://macaulaylibrary.org/asset/234162241,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/234162241/audio
LS,https://macaulaylibrary.org/asset/208927051,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/208927051/audio
LS,https://macaulaylibrary.org/asset/203928151,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203928151/audio
LS,https://macaulaylibrary.org/asset/194279791,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/194279791/audio
LS,https://macaulaylibrary.org/asset/164408011,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/164408011/audio
LS,https://macaulaylibrary.org/asset/155092731,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/155092731/audio
LS,https://macaulaylibrary.org/asset/134664151,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/134664151/audio
LS,https://macaulaylibrary.org/asset/236454,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/236454/audio
LS,https://macaulaylibrary.org/asset/114680221,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/114680221/audio
LS,https://macaulaylibrary.org/asset/101910361,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/101910361/audio
LS,https://macaulaylibrary.org/asset/93660551,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/93660551/audio
LS,https://macaulaylibrary.org/asset/92960251,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/92960251/audio
LS,https://macaulaylibrary.org/asset/90943151,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90943151/audio
LS,https://macaulaylibrary.org/asset/90943131,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90943131/audio
LS,https://macaulaylibrary.org/asset/90684391,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90684391/audio
LS,https://macaulaylibrary.org/asset/89933421,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/89933421/audio
LS,https://macaulaylibrary.org/asset/84302961,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/84302961/audio
LS,https://macaulaylibrary.org/asset/66084991,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66084991/audio
LS,https://macaulaylibrary.org/asset/14182,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14182/audio
LS,https://macaulaylibrary.org/asset/14181,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14181/audio
LS,https://macaulaylibrary.org/asset/14179,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14179/audio
